iter	MultiClass	Accuracy
257	-1.012366086	0.6418048646
258	-1.011430763	0.6418236595
259	-1.010605445	0.6418374793
260	-1.009680279	0.6418474295
261	-1.00878683	0.6418557214
262	-1.007983278	0.6418783858
263	-1.007082228	0.6418783858
264	-1.006186014	0.6418728579
265	-1.005315506	0.6418695412
266	-1.004453635	0.641883361
267	-1.003578289	0.6418789386
268	-1.002734245	0.6419087894
269	-1.001910586	0.6419110006
270	-1.001100193	0.6419690437
271	-1.000265064	0.6419563295
272	-0.999442717	0.6419646213
273	-0.9986140824	0.6419806523
274	-0.9977820619	0.6419712548
275	-0.9969655887	0.6419635158
276	-0.9961894002	0.6419823107
277	-0.9954434771	0.641983969
278	-0.9947152432	0.642002764
279	-0.9938970426	0.642013267
280	-0.9931643173	0.6420641238
281	-0.9923810116	0.6420702045
282	-0.9915681316	0.6420619127
283	-0.9907663074	0.6420751797
284	-0.9900561083	0.6421199558
285	-0.9893319514	0.6421509121
286	-0.9885725539	0.6421481481
287	-0.9878039663	0.6421586512
288	-0.9870443615	0.6421686014
289	-0.9862885572	0.6422078496
290	-0.9855178275	0.6421995578
291	-0.9847696241	0.6421940299
292	-0.9840071172	0.6422039801
293	-0.9832665837	0.6422194583
294	-0.9825298507	0.6422354892
295	-0.9817993367	0.6422564953
296	-0.9811568546	0.6422874516
297	-0.9804228165	0.6422896628
298	-0.979738115	0.6423311222
299	-0.979013958	0.6423333333
300	-0.9782917358	0.6423311222
301	-0.9776238253	0.6423294638
302	-0.976934356	0.6423228303
303	-0.9762292012	0.6423272526
304	-0.9756095909	0.6423250415
305	-0.9749152847	0.642328911
306	-0.9742225677	0.6423432836
307	-0.9735428413	0.6423521282
308	-0.972878524	0.6423786622
309	-0.9722148286	0.6423841902
310	-0.9715420813	0.6423891653
311	-0.9709485904	0.642381979
312	-0.9702697623	0.642384743
313	-0.9696238944	0.6423869541
314	-0.9689832781	0.6423836374
315	-0.968345702	0.6423919292
316	-0.96769555	0.6423946932
317	-0.9670749033	0.6423880597
318	-0.9664297955	0.6424068546
319	-0.9658767966	0.6424156993
320	-0.9652390824	0.6424400221
321	-0.9646164317	0.6424538419
322	-0.9639984798	0.6424599226
323	-0.9634509397	0.6424632394
324	-0.9628492261	0.6424875622
325	-0.9622612631	0.6424798231
326	-0.961680141	0.6425096739
327	-0.9610849917	0.6425008292
328	-0.9605203151	0.642498618
329	-0.9599618574	0.6424754008
330	-0.9593565506	0.6424770591
331	-0.9588059701	0.6424903261
332	-0.9582135849	0.6425080155
333	-0.9576286622	0.6425218353
334	-0.9570344113	0.6425152018
335	-0.956486733	0.6425290216
336	-0.9558890271	0.6425433941
337	-0.9553211719	0.6425428413
338	-0.9547616777	0.6425505804
339	-0.9541972084	0.6425621891
340	-0.9536231343	0.6425671642
341	-0.95306288	0.6425715865
342	-0.9525000691	0.6425605307
343	-0.9519546711	0.6425671642
344	-0.951409204	0.642591487
345	-0.9508493643	0.64257822
346	-0.9503735489	0.6425981205
347	-0.9498329187	0.642618021
348	-0.9492816473	0.6426130459
349	-0.9487759812	0.6426440022
350	-0.9482763958	0.6426462134
351	-0.9477459923	0.6426688778
352	-0.9472082642	0.6426755113
353	-0.9466923715	0.6426777225
354	-0.9461708126	0.642681592
355	-0.9456652156	0.6426782753
356	-0.9451615533	0.6426716418
357	-0.9447160033	0.6426804865
358	-0.9441976921	0.6426832504
359	-0.9436824212	0.6426904367
360	-0.9431968629	0.6427014925
361	-0.9427116501	0.6427048093
362	-0.9422222222	0.64273466
363	-0.9417585683	0.6427313433
364	-0.9412788834	0.6427446103
365	-0.9408018242	0.6427412935
366	-0.9403160586	0.6427396352
367	-0.9398389994	0.642747927
368	-0.9393884743	0.6427512438
369	-0.9389097568	0.6427678275
370	-0.9384335959	0.642777225
371	-0.9379820343	0.6427982311
372	-0.9375437396	0.6428048646
373	-0.9371281786	0.6428247651
